,Edition,Sport,Discipline,Athlete,Gender,Event,Medal,Country
0,1896,Aquatics,Swimming,"HAJOS, Alfred",Men,100m freestyle,Gold,Hungary
1,1896,Aquatics,Swimming,"HAJOS, Alfred",Men,1200m freestyle,Gold,Hungary
2,1896,Athletics,Athletics,"SZOKOLYI, Alajos",Men,100m,Bronze,Hungary
3,1896,Athletics,Athletics,"DANI, Nandor",Men,800m,Silver,Hungary
4,1896,Athletics,Athletics,"KELLNER, Gyula",Men,marathon,Bronze,Hungary
5,1896,Tennis,Tennis,"TAPAVICZA, Momcsillo",Men,singles,Bronze,Hungary
6,1900,Aquatics,Swimming,"HALMAY, Zoltan",Men,1500m freestyle,Bronze,Hungary
7,1900,Aquatics,Swimming,"HALMAY, Zoltan",Men,200m freestyle,Silver,Hungary
8,1900,Aquatics,Swimming,"HALMAY, Zoltan",Men,4000m freestyle,Silver,Hungary
9,1900,Athletics,Athletics,"BAUER, Rudolf",Men,discus throw,Gold,Hungary
10,1900,Athletics,Athletics,"GÖNCZY, Lajos",Men,high jump,Bronze,Hungary
11,1904,Aquatics,Swimming,"HALMAY, Zoltan",Men,100m freestyle,Gold,Hungary
12,1904,Aquatics,Swimming,"KISS, Geza",Men,1500m freestyle,Silver,Hungary
13,1904,Aquatics,Swimming,"HALMAY, Zoltan",Men,50y freestyle (45.72m),Gold,Hungary
14,1904,Aquatics,Swimming,"KISS, Geza",Men,880y freestyle (804.66m),Bronze,Hungary
15,1908,Aquatics,Swimming,"HALMAY, Zoltan",Men,100m freestyle,Silver,Hungary
16,1908,Aquatics,Swimming,"HALMAY, Zoltan",Men,4x200m freestyle relay,Silver,Hungary
17,1908,Aquatics,Swimming,"LAS TORRES, Béla",Men,4x200m freestyle relay,Silver,Hungary
18,1908,Aquatics,Swimming,"MUNK, Jozsef",Men,4x200m freestyle relay,Silver,Hungary
19,1908,Aquatics,Swimming,"ZACHAR, Imre",Men,4x200m freestyle relay,Silver,Hungary
20,1908,Athletics,Athletics,"BODOR, Ödön",Men,4x400m relay,Bronze,Hungary
21,1908,Athletics,Athletics,"NAGY, Jozsef",Men,4x400m relay,Bronze,Hungary
22,1908,Athletics,Athletics,"RACZ, G.",Men,4x400m relay,Bronze,Hungary
23,1908,Athletics,Athletics,"SIMON, Pal",Men,4x400m relay,Bronze,Hungary
24,1908,Athletics,Athletics,"SOMODY, Istvan",Men,high jump,Silver,Hungary
25,1908,Fencing,Fencing,"FUCHS, Jenö",Men,sabre individual,Gold,Hungary
26,1908,Fencing,Fencing,"ZULAWSKY, Béla",Men,sabre individual,Silver,Hungary
27,1908,Fencing,Fencing,"FUCHS, Jenö",Men,sabre team,Gold,Hungary
28,1908,Fencing,Fencing,"GERDE, Oskar",Men,sabre team,Gold,Hungary
29,1908,Fencing,Fencing,"TOTH, Peter",Men,sabre team,Gold,Hungary
30,1908,Fencing,Fencing,"WERKNER, Lajos",Men,sabre team,Gold,Hungary
31,1908,Rowing,Rowing,"LEVICZKY, Károly",Men,single sculls (1x),Bronze,Hungary
32,1908,Wrestling,Wrestling Gre-R,"WEISZ, Richard",Men,+ 93kg (super heavyweight),Gold,Hungary
33,1912,Athletics,Athletics,"KOVACS, Mor",Men,javelin throw,Bronze,Hungary
34,1912,Fencing,Fencing,"MESZAROS, Ervin",Men,sabre individual,Bronze,Hungary
35,1912,Fencing,Fencing,"FUCHS, Jenö",Men,sabre individual,Gold,Hungary
36,1912,Fencing,Fencing,"BEKESSY, Béla",Men,sabre individual,Silver,Hungary
37,1912,Fencing,Fencing,"BERTI, Laszlo",Men,sabre team,Gold,Hungary
38,1912,Fencing,Fencing,"FÖLDES, Deszö",Men,sabre team,Gold,Hungary
39,1912,Fencing,Fencing,"FUCHS, Jenö",Men,sabre team,Gold,Hungary
40,1912,Fencing,Fencing,"GERDE, Oskar",Men,sabre team,Gold,Hungary
41,1912,Fencing,Fencing,"MESZAROS, Ervin",Men,sabre team,Gold,Hungary
42,1912,Fencing,Fencing,"SCHENKER, Zoltan",Men,sabre team,Gold,Hungary
43,1912,Fencing,Fencing,"TOTH, Peter",Men,sabre team,Gold,Hungary
44,1912,Fencing,Fencing,"WERKNER, Lajos",Men,sabre team,Gold,Hungary
45,1912,Gymnastics,Artistic G.,"ARADI, Lajos",Men,team competition,Silver,Hungary
46,1912,Gymnastics,Artistic G.,"BERKES, Jozsef",Men,team competition,Silver,Hungary
47,1912,Gymnastics,Artistic G.,"ERDÖDY, Imre",Men,team competition,Silver,Hungary
48,1912,Gymnastics,Artistic G.,"FOTI, Samu",Men,team competition,Silver,Hungary
49,1912,Gymnastics,Artistic G.,"GELLERT, Imre",Men,team competition,Silver,Hungary
50,1912,Gymnastics,Artistic G.,"HALMOS, Gyözö",Men,team competition,Silver,Hungary
51,1912,Gymnastics,Artistic G.,"HELLMICH, Otto",Men,team competition,Silver,Hungary
52,1912,Gymnastics,Artistic G.,"HERCZEG, Istvan",Men,team competition,Silver,Hungary
53,1912,Gymnastics,Artistic G.,"KERESZTESSY, Jozsef",Men,team competition,Silver,Hungary
54,1912,Gymnastics,Artistic G.,"KORPONAI, Janos",Men,team competition,Silver,Hungary
55,1912,Gymnastics,Artistic G.,"PASZTY, Elemer",Men,team competition,Silver,Hungary
56,1912,Gymnastics,Artistic G.,"PEDERY, Arpad",Men,team competition,Silver,Hungary
57,1912,Gymnastics,Artistic G.,"RETI, Jenö",Men,team competition,Silver,Hungary
58,1912,Gymnastics,Artistic G.,"SZÜTS, Ferenc",Men,team competition,Silver,Hungary
59,1912,Gymnastics,Artistic G.,"TERY, Ödön",Men,team competition,Silver,Hungary
60,1912,Gymnastics,Artistic G.,"TULI, Géza",Men,team competition,Silver,Hungary
61,1912,Shooting,Shooting,"PROKOPP, Sandor",Men,"army rifle, 300m, 3 positions",Gold,Hungary
62,1912,Wrestling,Wrestling Gre-R,"VARGA, Béla",Men,75 - 82.5kg (light-heavyweight),Bronze,Hungary
63,1924,Aquatics,Swimming,"BARTHA, István",Men,100m backstroke,Bronze,Hungary
64,1924,Athletics,Athletics,"SOMFAY, Elemer",Men,pentathlon,Silver,Hungary
65,1924,Fencing,Fencing,"BERTI, Laszlo",Men,foil team,Bronze,Hungary
66,1924,Fencing,Fencing,"LICHTENECKERT, Istvan",Men,foil team,Bronze,Hungary
67,1924,Fencing,Fencing,"POSTA, Sandor",Men,foil team,Bronze,Hungary
68,1924,Fencing,Fencing,"SCHENKER, Zoltan",Men,foil team,Bronze,Hungary
69,1924,Fencing,Fencing,"TERSZTYANSZKY, Ödön",Men,foil team,Bronze,Hungary
70,1924,Fencing,Fencing,"GARAY, Janos",Men,sabre individual,Bronze,Hungary
71,1924,Fencing,Fencing,"POSTA, Sandor",Men,sabre individual,Gold,Hungary
72,1924,Fencing,Fencing,"BERTI, Laszlo",Men,sabre team,Silver,Hungary
73,1924,Fencing,Fencing,"GARAY, Janos",Men,sabre team,Silver,Hungary
74,1924,Fencing,Fencing,"POSTA, Sandor",Men,sabre team,Silver,Hungary
75,1924,Fencing,Fencing,"RADY, Jozsef",Men,sabre team,Silver,Hungary
76,1924,Fencing,Fencing,"SCHENKER, Zoltan",Men,sabre team,Silver,Hungary
77,1924,Fencing,Fencing,"SZECHY, Laszlo",Men,sabre team,Silver,Hungary
78,1924,Fencing,Fencing,"TERSZTYANSZKY, Ödön",Men,sabre team,Silver,Hungary
79,1924,Fencing,Fencing,"UHLYARIK, Jenö",Men,sabre team,Silver,Hungary
80,1924,Shooting,Shooting,"HALASY, Gyula",Men,trap (125 targets),Gold,Hungary
81,1924,Wrestling,Wrestling Gre-R,"BADO, Rajmund",Men,+ 82.5kg (super heavyweight),Bronze,Hungary
82,1924,Wrestling,Wrestling Gre-R,"KERESZTES, Lajos",Men,62 - 67.5kg (lightweight),Silver,Hungary
83,1928,Aquatics,Swimming,"BARANY, Istvan",Men,100m freestyle,Silver,Hungary
84,1928,Aquatics,Water polo,"BARTA, István",Men,water polo,Silver,Hungary
85,1928,Aquatics,Water polo,"HALASSY, Oliver",Men,water polo,Silver,Hungary
86,1928,Aquatics,Water polo,"HOMONNAI, Márton",Men,water polo,Silver,Hungary
87,1928,Aquatics,Water polo,"IVÁDY, Sándor",Men,water polo,Silver,Hungary
88,1928,Aquatics,Water polo,"KESERU, Alajos",Men,water polo,Silver,Hungary
89,1928,Aquatics,Water polo,"KESERU, Ferenc",Men,water polo,Silver,Hungary
90,1928,Aquatics,Water polo,"VRABELY, Jozsef",Men,water polo,Silver,Hungary
91,1928,Athletics,Athletics,"SZEPES-STRAUCH, Bela",Men,javelin throw,Silver,Hungary
92,1928,Boxing,Boxing,"KOCSIS, Antal",Men,- 50.8kg (flyweight),Gold,Hungary
93,1928,Fencing,Fencing,"VITEZ TERSZTYANSZKY, Odön",Men,sabre individual,Gold,Hungary
94,1928,Fencing,Fencing,"PETSCHAUER, Attila",Men,sabre individual,Silver,Hungary
95,1928,Fencing,Fencing,"GARAY, Janos",Men,sabre team,Gold,Hungary
96,1928,Fencing,Fencing,"GLYKAIS, Gyula",Men,sabre team,Gold,Hungary
97,1928,Fencing,Fencing,"GOMBOS, Sandor",Men,sabre team,Gold,Hungary
98,1928,Fencing,Fencing,"PETSCHAUER, Attila",Men,sabre team,Gold,Hungary
99,1928,Fencing,Fencing,"RADY, Jozsef",Men,sabre team,Gold,Hungary
100,1928,Fencing,Fencing,"TERSZTYANSZKY, Ödön",Men,sabre team,Gold,Hungary
101,1928,Wrestling,Wrestling Gre-R,"KERESZTES, Lajos",Men,60 - 67.5kg (lightweight),Gold,Hungary
102,1928,Wrestling,Wrestling Gre-R,"PAPP, L.",Men,67.5 - 75kg (middleweight),Silver,Hungary
103,1932,Aquatics,Swimming,"BARANY, Istvan",Men,4x200m freestyle relay,Bronze,Hungary
104,1932,Aquatics,Swimming,"SZABADOS, László",Men,4x200m freestyle relay,Bronze,Hungary
105,1932,Aquatics,Swimming,"SZEKELY, Andras",Men,4x200m freestyle relay,Bronze,Hungary
106,1932,Aquatics,Swimming,"WANIE, Andras",Men,4x200m freestyle relay,Bronze,Hungary
107,1932,Aquatics,Water polo,"BARTA, István",Men,water polo,Gold,Hungary
108,1932,Aquatics,Water polo,"BRODY, György",Men,water polo,Gold,Hungary
109,1932,Aquatics,Water polo,"HALASSY, Oliver",Men,water polo,Gold,Hungary
110,1932,Aquatics,Water polo,"HOMONNAI, Lajos",Men,water polo,Gold,Hungary
111,1932,Aquatics,Water polo,"IVÁDY, Sándor",Men,water polo,Gold,Hungary
112,1932,Aquatics,Water polo,"KESERU, Alajos",Men,water polo,Gold,Hungary
113,1932,Aquatics,Water polo,"KESERU, Ferenc",Men,water polo,Gold,Hungary
114,1932,Aquatics,Water polo,"NEMETH, János",Men,water polo,Gold,Hungary
115,1932,Aquatics,Water polo,"SÁRKÁNY, Miklós",Men,water polo,Gold,Hungary
116,1932,Aquatics,Water polo,"VÉRTESI (VRABELY), József",Men,water polo,Gold,Hungary
117,1932,Boxing,Boxing,"ENEKES, Istvan",Men,- 50.8kg (flyweight),Gold,Hungary
118,1932,Fencing,Fencing,"BOGEN, Erna",Women,foil individual,Bronze,Hungary
119,1932,Fencing,Fencing,"KABOS, Endre",Men,sabre individual,Bronze,Hungary
120,1932,Fencing,Fencing,"PILLER JEKELFALUSSY, György",Men,sabre individual,Gold,Hungary
121,1932,Fencing,Fencing,"GEREVICH, Aladar",Men,sabre team,Gold,Hungary
122,1932,Fencing,Fencing,"GLYKAIS, Gyula",Men,sabre team,Gold,Hungary
123,1932,Fencing,Fencing,"KABOS, Endre",Men,sabre team,Gold,Hungary
124,1932,Fencing,Fencing,"NAGY, Erno",Men,sabre team,Gold,Hungary
125,1932,Fencing,Fencing,"PETSCHAUER, Attila",Men,sabre team,Gold,Hungary
126,1932,Fencing,Fencing,"PILLER JEKELFALUSSY, György",Men,sabre team,Gold,Hungary
127,1932,Gymnastics,Artistic G.,"PELLE, István",Men,floor exercises,Gold,Hungary
128,1932,Gymnastics,Artistic G.,"PELLE, István",Men,individual all-round,Silver,Hungary
129,1932,Gymnastics,Artistic G.,"PELLE, István",Men,parallel bars,Silver,Hungary
130,1932,Gymnastics,Artistic G.,"PELLE, István",Men,pommel horse,Gold,Hungary
131,1932,Shooting,Shooting,"HRADETZKY-SOOS-RUSZKA, Zoltan",Men,50m rifle prone (60 shots),Bronze,Hungary
132,1932,Wrestling,Wrestling Free.,"ZOMBORI, Ödön",Men,- 56kg (bantamweight),Silver,Hungary
133,1932,Wrestling,Wrestling Free.,"KÁRPÁTI, Károly",Men,61 - 66kg (lightweight),Silver,Hungary
134,1932,Wrestling,Wrestling Free.,"TUNYOGI, Jozsef",Men,72 - 79kg (middleweight),Bronze,Hungary
135,1936,Aquatics,Swimming,"CSIK, Ferenc",Men,100m freestyle,Gold,Hungary
136,1936,Aquatics,Swimming,"ABAY-NEMES, Oszkar",Men,4x200m freestyle relay,Bronze,Hungary
137,1936,Aquatics,Swimming,"CSIK, Ferenc",Men,4x200m freestyle relay,Bronze,Hungary
138,1936,Aquatics,Swimming,"GROF, Ödön",Men,4x200m freestyle relay,Bronze,Hungary
139,1936,Aquatics,Swimming,"LENGYEL, Arpad",Men,4x200m freestyle relay,Bronze,Hungary
140,1936,Aquatics,Water polo,"BOZSI, Mihaly",Men,water polo,Gold,Hungary
141,1936,Aquatics,Water polo,"BRANDI, Jenö",Men,water polo,Gold,Hungary
142,1936,Aquatics,Water polo,"BRODY, György",Men,water polo,Gold,Hungary
143,1936,Aquatics,Water polo,"HALASSY, Oliver",Men,water polo,Gold,Hungary
144,1936,Aquatics,Water polo,"HAZAI, Kalman",Men,water polo,Gold,Hungary
145,1936,Aquatics,Water polo,"HOMONNAI, Lajos",Men,water polo,Gold,Hungary
146,1936,Aquatics,Water polo,"KUTASI, György",Men,water polo,Gold,Hungary
147,1936,Aquatics,Water polo,"MOLNAR, Istvan",Men,water polo,Gold,Hungary
148,1936,Aquatics,Water polo,"NEMETH, János",Men,water polo,Gold,Hungary
149,1936,Aquatics,Water polo,"SÁRKÁNY, Miklós",Men,water polo,Gold,Hungary
150,1936,Aquatics,Water polo,"TARICS, Sandor",Men,water polo,Gold,Hungary
151,1936,Athletics,Athletics,"CSAK, Ibolya",Women,high jump,Gold,Hungary
152,1936,Boxing,Boxing,"HARANGI, Imre",Men,57.15 - 61.24kg (lightweight),Gold,Hungary
153,1936,Equestrian,Jumping,H:: SELLO,Men,individual,Bronze,Hungary
154,1936,Equestrian,Jumping,"VON PLATTHY, Jozsef",Men,individual,Bronze,Hungary
155,1936,Fencing,Fencing,"ELEK, Ilona",Women,foil individual,Gold,Hungary
156,1936,Fencing,Fencing,"GEREVICH, Aladar",Men,sabre individual,Bronze,Hungary
157,1936,Fencing,Fencing,"KABOS, Endre",Men,sabre individual,Gold,Hungary
158,1936,Fencing,Fencing,"BERCZELLY, Tibor",Men,sabre team,Gold,Hungary
159,1936,Fencing,Fencing,"GEREVICH, Aladar",Men,sabre team,Gold,Hungary
160,1936,Fencing,Fencing,"KABOS, Endre",Men,sabre team,Gold,Hungary
161,1936,Fencing,Fencing,"KOVACS, Pal Adam",Men,sabre team,Gold,Hungary
162,1936,Fencing,Fencing,"RAJCSANYI, Laszlo",Men,sabre team,Gold,Hungary
163,1936,Fencing,Fencing,"RAJCZY, Imre",Men,sabre team,Gold,Hungary
164,1936,Gymnastics,Artistic G.,"CSILLIK, Margit",Women,team competition,Bronze,Hungary
165,1936,Gymnastics,Artistic G.,"KALOCSAI, Margit",Women,team competition,Bronze,Hungary
166,1936,Gymnastics,Artistic G.,"MADARY, Ilona",Women,team competition,Bronze,Hungary
167,1936,Gymnastics,Artistic G.,"MESZAROS, Gabriella",Women,team competition,Bronze,Hungary
168,1936,Gymnastics,Artistic G.,"NAGY-SANDOR, Margit",Women,team competition,Bronze,Hungary
169,1936,Gymnastics,Artistic G.,"TÖRÖS, Olga",Women,team competition,Bronze,Hungary
170,1936,Gymnastics,Artistic G.,"TÖTH, Judith",Women,team competition,Bronze,Hungary
171,1936,Gymnastics,Artistic G.,"VOIT, Eszter",Women,team competition,Bronze,Hungary
172,1936,Shooting,Shooting,"BERSZENYI, Ralf",Men,50m rifle prone (60 shots),Silver,Hungary
173,1936,Wrestling,Wrestling Free.,"ZOMBORI, Ödön",Men,- 56kg (bantamweight),Gold,Hungary
174,1936,Wrestling,Wrestling Free.,"KÁRPÁTI, Károly",Men,61 - 66kg (lightweight),Gold,Hungary
175,1936,Wrestling,Wrestling Gre-R,"LÖRINCZ, Marton",Men,- 56kg (bantamweight),Gold,Hungary
176,1936,Wrestling,Wrestling Gre-R,"PALOTAS, Jozsef",Men,72 - 79kg (middleweight),Bronze,Hungary
177,1948,Aquatics,Swimming,"KADAS, Geza",Men,100m freestyle,Bronze,Hungary
178,1948,Aquatics,Swimming,"MITRO, György",Men,1500m freestyle,Bronze,Hungary
179,1948,Aquatics,Swimming,"NOVAK-GERARD, Eva",Women,200m breaststroke,Bronze,Hungary
180,1948,Aquatics,Swimming,"KADAS, Geza",Men,4x200m freestyle relay,Silver,Hungary
181,1948,Aquatics,Swimming,"MITRO, György",Men,4x200m freestyle relay,Silver,Hungary
182,1948,Aquatics,Swimming,"NYEKI, Imre",Men,4x200m freestyle relay,Silver,Hungary
183,1948,Aquatics,Swimming,"SZATMARI, Elemer",Men,4x200m freestyle relay,Silver,Hungary
184,1948,Aquatics,Water polo,"BRANDI, Jenö",Men,water polo,Silver,Hungary
185,1948,Aquatics,Water polo,"CSUVIK, Oszkar",Men,water polo,Silver,Hungary
186,1948,Aquatics,Water polo,"FABIAN, Dezsö",Men,water polo,Silver,Hungary
187,1948,Aquatics,Water polo,"GYARMATI, Dezso",Men,water polo,Silver,Hungary
188,1948,Aquatics,Water polo,"GYORFFI, Endre",Men,water polo,Silver,Hungary
189,1948,Aquatics,Water polo,"HOLOP, Miklos",Men,water polo,Silver,Hungary
190,1948,Aquatics,Water polo,"JENEI, Laszlo",Men,water polo,Silver,Hungary
191,1948,Aquatics,Water polo,"LEMHENYI, DezsÃ¶",Men,water polo,Silver,Hungary
192,1948,Aquatics,Water polo,"SZITTYA, Karoly",Men,water polo,Silver,Hungary
193,1948,Aquatics,Water polo,"SZIVOS, Istvan",Men,water polo,Silver,Hungary
194,1948,Athletics,Athletics,"NEMETH, Imre",Men,hammer throw,Gold,Hungary
195,1948,Athletics,Athletics,"VARSZEGI, Jozsef",Men,javelin throw,Bronze,Hungary
196,1948,Athletics,Athletics,"GYARMATI, Olga",Women,long jump,Gold,Hungary
197,1948,Boxing,Boxing,"CSIK, Tibor",Men,51 - 54kg (bantamweight),Gold,Hungary
198,1948,Boxing,Boxing,"PAPP, Laszlo",Men,67 - 73kg (middleweight),Gold,Hungary
199,1948,Fencing,Fencing,"MASZLAY, Lajos",Men,foil individual,Bronze,Hungary
200,1948,Fencing,Fencing,"ELEK, Ilona",Women,foil individual,Gold,Hungary
201,1948,Fencing,Fencing,"KOVACS, Pal Adam",Men,sabre individual,Bronze,Hungary
202,1948,Fencing,Fencing,"GEREVICH, Aladar",Men,sabre individual,Gold,Hungary
203,1948,Fencing,Fencing,"BERCZELLY, Tibor",Men,sabre team,Gold,Hungary
204,1948,Fencing,Fencing,"GEREVICH, Aladar",Men,sabre team,Gold,Hungary
205,1948,Fencing,Fencing,"KARPATI, Rudolf",Men,sabre team,Gold,Hungary
206,1948,Fencing,Fencing,"KOVACS, Pal Adam",Men,sabre team,Gold,Hungary
207,1948,Fencing,Fencing,"PAPP, Bertalan",Men,sabre team,Gold,Hungary
208,1948,Fencing,Fencing,"RAJCSANYI, Laszlo",Men,sabre team,Gold,Hungary
209,1948,Gymnastics,Artistic G.,"PATAKI, Ferenc",Men,floor exercises,Gold,Hungary
210,1948,Gymnastics,Artistic G.,"MOGYOROSI-KLENCS, Janos",Men,floor exercises,Silver,Hungary
211,1948,Gymnastics,Artistic G.,"BARANYAI, Laszlo",Men,team competition,Bronze,Hungary
212,1948,Gymnastics,Artistic G.,"FEKETE, Jozsef",Men,team competition,Bronze,Hungary
213,1948,Gymnastics,Artistic G.,"MOGYOROSI, Gyözö",Men,team competition,Bronze,Hungary
214,1948,Gymnastics,Artistic G.,"MOGYOROSI-KLENCS, Janos",Men,team competition,Bronze,Hungary
215,1948,Gymnastics,Artistic G.,"PATAKI, Ferenc",Men,team competition,Bronze,Hungary
216,1948,Gymnastics,Artistic G.,"SANTHA, Lajos",Men,team competition,Bronze,Hungary
217,1948,Gymnastics,Artistic G.,"TOTH, Lajos",Men,team competition,Bronze,Hungary
218,1948,Gymnastics,Artistic G.,"VARKOI, Ferenc",Men,team competition,Bronze,Hungary
219,1948,Gymnastics,Artistic G.,"FEHER, Anna",Women,team competition,Silver,Hungary
220,1948,Gymnastics,Artistic G.,"GULYAS-KÖTELES, Erzsebet",Women,team competition,Silver,Hungary
221,1948,Gymnastics,Artistic G.,"KARSICS-DARUHAZI, Iren",Women,team competition,Silver,Hungary
222,1948,Gymnastics,Artistic G.,"KÖVI-ZALAI, Maria",Women,team competition,Silver,Hungary
223,1948,Gymnastics,Artistic G.,"NAGY-SANDOR, Margit",Women,team competition,Silver,Hungary
224,1948,Gymnastics,Artistic G.,"SARKANY-BALASZ, Erzebet",Women,team competition,Silver,Hungary
225,1948,Gymnastics,Artistic G.,"TASS LEMHENYI, Olga",Women,team competition,Silver,Hungary
226,1948,Gymnastics,Artistic G.,"VASARHELYI (WECKINGER), Edit",Women,team competition,Silver,Hungary
227,1948,Gymnastics,Artistic G.,"MOGYOROSI-KLENCS, Janos",Men,vault,Bronze,Hungary
228,1948,Gymnastics,Artistic G.,"PATAKI, Ferenc",Men,vault,Bronze,Hungary
229,1948,Rowing,Rowing,"SZENDEY, Antal",Men,pair-oared shell with coxswain (2+),Bronze,Hungary
230,1948,Rowing,Rowing,"ZIMONYI, Robert",Men,pair-oared shell with coxswain (2+),Bronze,Hungary
231,1948,Rowing,Rowing,"ZSITNIK SR., Bela",Men,pair-oared shell with coxswain (2+),Bronze,Hungary
232,1948,Shooting,Shooting,"TAKACS, Karoly",Men,25m rapid fire pistol (60 shots),Gold,Hungary
233,1948,Wrestling,Wrestling Free.,"BOBIS, Gyula",Men,+ 87kg (heavyweight),Gold,Hungary
234,1948,Wrestling,Wrestling Gre-R,"TOTH, Ferenc",Men,57 - 61kg (featherweight),Bronze,Hungary
235,1948,Wrestling,Wrestling Gre-R,"FERENCZ, Karoly",Men,61 - 67kg (lightweight),Bronze,Hungary
236,1948,Wrestling,Wrestling Gre-R,"SZILVASI, Miklos",Men,67 - 73kg (welterweight),Silver,Hungary
237,1952,Aquatics,Swimming,"TEMES, Judith",Women,100m freestyle,Bronze,Hungary
238,1952,Aquatics,Swimming,"SZÖKE, Katalin",Women,100m freestyle,Gold,Hungary
239,1952,Aquatics,Swimming,"SZEKELY, Eva",Women,200m breaststroke,Gold,Hungary
240,1952,Aquatics,Swimming,"NOVAK-GERARD, Eva",Women,200m breaststroke,Silver,Hungary
241,1952,Aquatics,Swimming,"GYENGE, Valeria",Women,400m freestyle,Gold,Hungary
242,1952,Aquatics,Swimming,"NOVAK-GERARD, Eva",Women,400m freestyle,Silver,Hungary
243,1952,Aquatics,Swimming,"NOVAK, Ilona",Women,4x100m freestyle relay,Gold,Hungary
244,1952,Aquatics,Swimming,"NOVAK-GERARD, Eva",Women,4x100m freestyle relay,Gold,Hungary
245,1952,Aquatics,Swimming,"SZÖKE, Katalin",Women,4x100m freestyle relay,Gold,Hungary
246,1952,Aquatics,Swimming,"TEMES, Judith",Women,4x100m freestyle relay,Gold,Hungary
247,1952,Aquatics,Water polo,"ANTAL, Robert",Men,water polo,Gold,Hungary
248,1952,Aquatics,Water polo,"BOLVARI, Antal",Men,water polo,Gold,Hungary
249,1952,Aquatics,Water polo,"FABIAN, Dezsö",Men,water polo,Gold,Hungary
250,1952,Aquatics,Water polo,"GYARMATI, Dezso",Men,water polo,Gold,Hungary
251,1952,Aquatics,Water polo,"HASZNOS, Istvan",Men,water polo,Gold,Hungary
252,1952,Aquatics,Water polo,"JENEI, Laszlo",Men,water polo,Gold,Hungary
253,1952,Aquatics,Water polo,"KARPATI, György",Men,water polo,Gold,Hungary
254,1952,Aquatics,Water polo,"LEMHENYI, DezsÃ¶",Men,water polo,Gold,Hungary
255,1952,Aquatics,Water polo,"MARKOVICS, Kalman",Men,water polo,Gold,Hungary
256,1952,Aquatics,Water polo,"MARTIN, Miklos",Men,water polo,Gold,Hungary
257,1952,Aquatics,Water polo,"SZITTYA, Karoly",Men,water polo,Gold,Hungary
258,1952,Aquatics,Water polo,"SZIVOS, Istvan",Men,water polo,Gold,Hungary
259,1952,Aquatics,Water polo,"VIZVARI, György",Men,water polo,Gold,Hungary
260,1952,Athletics,Athletics,"CSANYI, György",Men,4x100m relay,Bronze,Hungary
261,1952,Athletics,Athletics,"GOLDOVANYI, Bela",Men,4x100m relay,Bronze,Hungary
262,1952,Athletics,Athletics,"VARASDI, Geza",Men,4x100m relay,Bronze,Hungary
263,1952,Athletics,Athletics,"ZARANDI, Laszlo",Men,4x100m relay,Bronze,Hungary
264,1952,Athletics,Athletics,"ROKA, Antal",Men,50km walk,Bronze,Hungary
265,1952,Athletics,Athletics,"NEMETH, Imre",Men,hammer throw,Bronze,Hungary
266,1952,Athletics,Athletics,"CSERMAK, Jozsef",Men,hammer throw,Gold,Hungary
267,1952,Athletics,Athletics,"FÖLDESSY, Ödön",Men,long jump,Bronze,Hungary
268,1952,Boxing,Boxing,"PAPP, Laszlo",Men,67 - 71kg (light-middleweight),Gold,Hungary
269,1952,Canoe / Kayak,Canoe / Kayak F,"NOVAK, Gabor",Men,C-1 10000m,Silver,Hungary
270,1952,Canoe / Kayak,Canoe / Kayak F,"PARTI, Janos",Men,C-1 1000m (canoe single),Silver,Hungary
271,1952,Canoe / Kayak,Canoe / Kayak F,"GUROVICS, Jozsef",Men,K-2 10000m,Bronze,Hungary
272,1952,Canoe / Kayak,Canoe / Kayak F,"VARGA, Ferenc",Men,K-2 10000m,Bronze,Hungary
273,1952,Fencing,Fencing,"ELEK, Ilona",Women,foil individual,Silver,Hungary
274,1952,Fencing,Fencing,"BERCZELLY, Tibor",Men,foil team,Bronze,Hungary
275,1952,Fencing,Fencing,"GEREVICH, Aladar",Men,foil team,Bronze,Hungary
276,1952,Fencing,Fencing,"MASZLAY, Lajos",Men,foil team,Bronze,Hungary
277,1952,Fencing,Fencing,"PALOCZ, Endre",Men,foil team,Bronze,Hungary
278,1952,Fencing,Fencing,"SAKOVICS, Jozsef",Men,foil team,Bronze,Hungary
279,1952,Fencing,Fencing,"TILLI, Endre",Men,foil team,Bronze,Hungary
280,1952,Fencing,Fencing,"BERCZELLY, Tibor",Men,sabre individual,Bronze,Hungary
281,1952,Fencing,Fencing,"KOVACS, Pal Adam",Men,sabre individual,Gold,Hungary
282,1952,Fencing,Fencing,"GEREVICH, Aladar",Men,sabre individual,Silver,Hungary
283,1952,Fencing,Fencing,"BERCZELLY, Tibor",Men,sabre team,Gold,Hungary
284,1952,Fencing,Fencing,"GEREVICH, Aladar",Men,sabre team,Gold,Hungary
285,1952,Fencing,Fencing,"KARPATI, Rudolf",Men,sabre team,Gold,Hungary
286,1952,Fencing,Fencing,"KOVACS, Pal Adam",Men,sabre team,Gold,Hungary
287,1952,Fencing,Fencing,"PAPP, Bertalan",Men,sabre team,Gold,Hungary
288,1952,Fencing,Fencing,"RAJCSANYI, Laszlo",Men,sabre team,Gold,Hungary
289,1952,Football,Football,"BOZSIK, Jozsef",Men,football,Gold,Hungary
290,1952,Football,Football,"BUDAI, Laszlo",Men,football,Gold,Hungary
291,1952,Football,Football,"BUZANSZKY, Jenö",Men,football,Gold,Hungary
